customer_id,anomaly_rule,sequence_pattern,explanation,timestamps,transaction_details,signal_strength,overall_severity
C12905860,Repeated High-Value Transactions to Same Destination,TRANSFER -> TRANSFER -> TRANSFER,"3 high-value transactions (>10000) sent to destination C1359044626. Total amount: 1,225,856.27. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C12905860, C288306765, C835773569. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1","[step=1 type=TRANSFER amount=147,543.10 from=C12905860 to=C1359044626]; [step=1 type=TRANSFER amount=367,768.40 from=C288306765 to=C1359044626]; [step=1 type=TRANSFER amount=710,544.77 from=C835773569 to=C1359044626]",3,high
C12905860,Extreme High-Value Transaction,TRANSFER,"Single transaction of 147,543.10 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C12905860 to C1359044626. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=147,543.10 from=C12905860 to=C1359044626]",2,high
C12905860,Rapid Burst to Same Destination,TRANSFER -> TRANSFER -> TRANSFER,"3 transactions to destination C1359044626 in a single time step (step 1). Total: 1,225,856.27. Types: TRANSFER, TRANSFER, TRANSFER. Senders: C12905860, C288306765, C835773569. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1","[step=1 type=TRANSFER amount=147,543.10 from=C12905860 to=C1359044626]; [step=1 type=TRANSFER amount=367,768.40 from=C288306765 to=C1359044626]; [step=1 type=TRANSFER amount=710,544.77 from=C835773569 to=C1359044626]",1,high
C12905860,Zero-Balance Origin Transfer,TRANSFER,"Account C12905860 initiated a TRANSFER of 147,543.10 with a starting balance of 0. Destination: C1359044626. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=147,543.10 from=C12905860 to=C1359044626]",2,high
C12905860,Destination Balance Mismatch,TRANSFER,"Destination C1359044626 balance anomaly: expected 370,763.10 after receiving 147,543.10 but actual balance is 16,518.36 (difference: 354,244.74). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=147,543.10 from=C12905860 to=C1359044626]",1,high
C1376151044,Extreme High-Value Transaction,TRANSFER,"Single transaction of 78,766.03 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1376151044 to C1749186397. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=78,766.03 from=C1376151044 to=C1749186397]",2,high
C1376151044,Zero-Balance Origin Transfer,TRANSFER,"Account C1376151044 initiated a TRANSFER of 78,766.03 with a starting balance of 0. Destination: C1749186397. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=78,766.03 from=C1376151044 to=C1749186397]",2,high
C1376151044,Destination Balance Mismatch,TRANSFER,"Destination C1749186397 balance anomaly: expected 182,538.03 after receiving 78,766.03 but actual balance is 277,515.05 (difference: 94,977.02). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=78,766.03 from=C1376151044 to=C1749186397]",1,high
C1443967876,Repeated High-Value Transactions to Same Destination,TRANSFER -> TRANSFER,"2 high-value transactions (>10000) sent to destination C392292416. Total amount: 484,704.45. Pattern: HIGH_VALUE -> HIGH_VALUE. Senders: C1443967876, C908084672. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1","[step=1 type=TRANSFER amount=125,872.53 from=C1443967876 to=C392292416]; [step=1 type=TRANSFER amount=358,831.92 from=C908084672 to=C392292416]",2,high
C1443967876,Extreme High-Value Transaction,TRANSFER,"Single transaction of 125,872.53 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1443967876 to C392292416. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=125,872.53 from=C1443967876 to=C392292416]",2,high
C1443967876,Zero-Balance Origin Transfer,TRANSFER,"Account C1443967876 initiated a TRANSFER of 125,872.53 with a starting balance of 0. Destination: C392292416. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=125,872.53 from=C1443967876 to=C392292416]",2,high
C1443967876,Destination Balance Mismatch,TRANSFER,"Destination C392292416 balance anomaly: expected 474,384.53 after receiving 125,872.53 but actual balance is 3,420,103.09 (difference: 2,945,718.56). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=125,872.53 from=C1443967876 to=C392292416]",1,high
C1449772539,Repeated High-Value Transactions to Same Destination,TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER,"5 high-value transactions (>10000) sent to destination C1590550415. Total amount: 4,876,596.40. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C1449772539, C412788346, C1520267010, C1495608502, C843299092. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1, 1, 1","[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]; [step=1 type=TRANSFER amount=761,507.39 from=C412788346 to=C1590550415]; [step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]; [step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]; [step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",5,high
C1449772539,Extreme High-Value Transaction,TRANSFER,"Single transaction of 379,856.23 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1449772539 to C1590550415. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]",2,high
C1449772539,Amount Spike vs Global Average,TRANSFER,"Transaction amount 379,856.23 is 3.3x the global average of 116,449.41 across all transaction types. While within norms for TRANSFER transactions, this amount is anomalous in the broader context.",1,"[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]",1,high
C1449772539,Rapid Burst to Same Destination,TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER,"5 transactions to destination C1590550415 in a single time step (step 1). Total: 4,876,596.40. Types: TRANSFER, TRANSFER, TRANSFER, TRANSFER, TRANSFER. Senders: C1449772539, C412788346, C1520267010, C1495608502, C843299092. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1, 1, 1","[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]; [step=1 type=TRANSFER amount=761,507.39 from=C412788346 to=C1590550415]; [step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]; [step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]; [step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",3,high
C1449772539,Zero-Balance Origin Transfer,TRANSFER,"Account C1449772539 initiated a TRANSFER of 379,856.23 with a starting balance of 0. Destination: C1590550415. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]",2,high
C1449772539,Destination Balance Mismatch,TRANSFER,"Destination C1590550415 balance anomaly: expected 1,280,036.23 after receiving 379,856.23 but actual balance is 19,169,204.93 (difference: 17,889,168.70). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]",1,high
C1495608502,Repeated High-Value Transactions to Same Destination,TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER,"5 high-value transactions (>10000) sent to destination C1590550415. Total amount: 4,876,596.40. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C1449772539, C412788346, C1520267010, C1495608502, C843299092. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1, 1, 1","[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]; [step=1 type=TRANSFER amount=761,507.39 from=C412788346 to=C1590550415]; [step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]; [step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]; [step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",5,high
C1495608502,Extreme High-Value Transaction,TRANSFER,"Single transaction of 1,724,887.05 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1495608502 to C1590550415. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]",2,high
C1495608502,Sudden Amount Spike,TRANSFER,"Transaction amount 1,724,887.05 is 3.9x the average TRANSFER amount of 436,809.52. Pattern: NORMAL -> NORMAL -> SPIKE (relative to population). This indicates a transaction significantly exceeding typical values for this type.",1,"[step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]",1,high
C1495608502,Rapid Burst to Same Destination,TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER,"5 transactions to destination C1590550415 in a single time step (step 1). Total: 4,876,596.40. Types: TRANSFER, TRANSFER, TRANSFER, TRANSFER, TRANSFER. Senders: C1449772539, C412788346, C1520267010, C1495608502, C843299092. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1, 1, 1","[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]; [step=1 type=TRANSFER amount=761,507.39 from=C412788346 to=C1590550415]; [step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]; [step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]; [step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",3,high
C1495608502,Zero-Balance Origin Transfer,TRANSFER,"Account C1495608502 initiated a TRANSFER of 1,724,887.05 with a starting balance of 0. Destination: C1590550415. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]",2,high
C1495608502,Destination Balance Mismatch,TRANSFER,"Destination C1590550415 balance anomaly: expected 5,195,482.15 after receiving 1,724,887.05 but actual balance is 19,169,204.93 (difference: 13,973,722.78). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]",1,high
C1520267010,Repeated High-Value Transactions to Same Destination,TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER,"5 high-value transactions (>10000) sent to destination C1590550415. Total amount: 4,876,596.40. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C1449772539, C412788346, C1520267010, C1495608502, C843299092. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1, 1, 1","[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]; [step=1 type=TRANSFER amount=761,507.39 from=C412788346 to=C1590550415]; [step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]; [step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]; [step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",5,high
C1520267010,Extreme High-Value Transaction,TRANSFER,"Single transaction of 1,429,051.47 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1520267010 to C1590550415. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]",2,high
C1520267010,Sudden Amount Spike,TRANSFER,"Transaction amount 1,429,051.47 is 3.3x the average TRANSFER amount of 436,809.52. Pattern: NORMAL -> NORMAL -> SPIKE (relative to population). This indicates a transaction significantly exceeding typical values for this type.",1,"[step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]",1,high
C1520267010,Rapid Burst to Same Destination,TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER,"5 transactions to destination C1590550415 in a single time step (step 1). Total: 4,876,596.40. Types: TRANSFER, TRANSFER, TRANSFER, TRANSFER, TRANSFER. Senders: C1449772539, C412788346, C1520267010, C1495608502, C843299092. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1, 1, 1","[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]; [step=1 type=TRANSFER amount=761,507.39 from=C412788346 to=C1590550415]; [step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]; [step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]; [step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",3,high
C1520267010,Zero-Balance Origin Transfer,TRANSFER,"Account C1520267010 initiated a TRANSFER of 1,429,051.47 with a starting balance of 0. Destination: C1590550415. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]",2,high
C1520267010,Destination Balance Mismatch,TRANSFER,"Destination C1590550415 balance anomaly: expected 3,470,595.09 after receiving 1,429,051.47 but actual balance is 19,169,204.93 (difference: 15,698,609.84). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]",1,high
C1528834618,Extreme High-Value Transaction,CASH_OUT,"Single transaction of 82,940.31 exceeds 5x the high-value threshold (50,000). Type: CASH_OUT. From C1528834618 to C476800120. Extremely large transactions warrant immediate review.",1,"[step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]",2,high
C1528834618,Sudden Type Change,DEBIT -> CASH_OUT,"Abrupt transaction type change: DEBIT -> CASH_OUT in consecutive transactions. Amounts: 5,529.13 -> 82,940.31. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=DEBIT amount=5,529.13 from=C867288517 to=C242131142]; [step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]",2,high
C1528834618,Sudden Type Change,CASH_OUT -> DEBIT,"Abrupt transaction type change: CASH_OUT -> DEBIT in consecutive transactions. Amounts: 82,940.31 -> 4,510.22. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]; [step=1 type=DEBIT amount=4,510.22 from=C280615803 to=C1254526270]",2,high
C1528834618,High-Value Account Drain,CASH_OUT,"Account C1528834618 was fully drained via CASH_OUT of 82,940.31. Previous balance: 3,017.87, new balance: 0. Complete account drainage through a high-value transaction is a strong fraud indicator.",1,"[step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]",3,high
C1528834618,Destination Balance Mismatch,CASH_OUT,"Destination C476800120 balance anomaly: expected 215,312.31 after receiving 82,940.31 but actual balance is 49,864.36 (difference: 165,447.95). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]",1,high
C1533123860,Repeated High-Value Transactions to Same Destination,CASH_OUT -> TRANSFER -> TRANSFER,"3 high-value transactions (>10000) sent to destination C766572210. Total amount: 915,506.55. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C1533123860, C873175411, C1603696865. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",3,high
C1533123860,Extreme High-Value Transaction,CASH_OUT,"Single transaction of 136,872.92 exceeds 5x the high-value threshold (50,000). Type: CASH_OUT. From C1533123860 to C766572210. Extremely large transactions warrant immediate review.",1,"[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]",2,high
C1533123860,Transfer Followed by Cash-Out (Same Destination),CASH_OUT -> TRANSFER -> TRANSFER,"Destination account C766572210 received 2 TRANSFER(s) totaling 778,633.63 and 1 CASH_OUT(s) totaling 136,872.92. Sequence: CASH_OUT -> TRANSFER -> TRANSFER. This pattern suggests funds are being moved through an intermediary account and then cashed out.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",3,high
C1533123860,Rapid Burst to Same Destination,CASH_OUT -> TRANSFER -> TRANSFER,"3 transactions to destination C766572210 in a single time step (step 1). Total: 915,506.55. Types: CASH_OUT, TRANSFER, TRANSFER. Senders: C1533123860, C873175411, C1603696865. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",1,high
C1556867940,Repeated High-Value Transactions to Same Destination,CASH_OUT -> TRANSFER,"2 high-value transactions (>10000) sent to destination C1509514333. Total amount: 320,125.82. Pattern: HIGH_VALUE -> HIGH_VALUE. Senders: C768216420, C1556867940. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1","[step=1 type=CASH_OUT amount=110,414.71 from=C768216420 to=C1509514333]; [step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",2,high
C1556867940,Extreme High-Value Transaction,TRANSFER,"Single transaction of 209,711.11 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1556867940 to C1509514333. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",2,high
C1556867940,Transfer Followed by Cash-Out (Same Destination),CASH_OUT -> TRANSFER,"Destination account C1509514333 received 1 TRANSFER(s) totaling 209,711.11 and 1 CASH_OUT(s) totaling 110,414.71. Sequence: CASH_OUT -> TRANSFER. This pattern suggests funds are being moved through an intermediary account and then cashed out.","1, 1","[step=1 type=CASH_OUT amount=110,414.71 from=C768216420 to=C1509514333]; [step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",2,high
C1556867940,Zero-Balance Origin Transfer,TRANSFER,"Account C1556867940 initiated a TRANSFER of 209,711.11 with a starting balance of 0. Destination: C1509514333. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",2,high
C1556867940,Destination Balance Mismatch,TRANSFER,"Destination C1509514333 balance anomaly: expected 608,925.82 after receiving 209,711.11 but actual balance is 2,415.16 (difference: 606,510.66). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",1,high
C1570470538,Extreme High-Value Transaction,CASH_OUT,"Single transaction of 56,953.90 exceeds 5x the high-value threshold (50,000). Type: CASH_OUT. From C1570470538 to C824009085. Extremely large transactions warrant immediate review.",1,"[step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",2,high
C1570470538,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 13,875.98 -> 56,953.90. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=13,875.98 from=C484199463 to=M2008106788]; [step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",2,high
C1570470538,High-Value Account Drain,CASH_OUT,"Account C1570470538 was fully drained via CASH_OUT of 56,953.90. Previous balance: 1,942.02, new balance: 0. Complete account drainage through a high-value transaction is a strong fraud indicator.",1,"[step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",3,high
