customer_id,anomaly_rule,sequence_pattern,explanation,timestamps,transaction_details,signal_strength,overall_severity
C835773569,Extreme High-Value Transaction,TRANSFER,"Single transaction of 710,544.77 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C835773569 to C1359044626. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=710,544.77 from=C835773569 to=C1359044626]",2,high
C835773569,Amount Spike vs Global Average,TRANSFER,"Transaction amount 710,544.77 is 6.1x the global average of 116,449.41 across all transaction types. While within norms for TRANSFER transactions, this amount is anomalous in the broader context.",1,"[step=1 type=TRANSFER amount=710,544.77 from=C835773569 to=C1359044626]",1,high
C835773569,Rapid Burst to Same Destination,TRANSFER -> TRANSFER -> TRANSFER,"3 transactions to destination C1359044626 in a single time step (step 1). Total: 1,225,856.27. Types: TRANSFER, TRANSFER, TRANSFER. Senders: C12905860, C288306765, C835773569. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1","[step=1 type=TRANSFER amount=147,543.10 from=C12905860 to=C1359044626]; [step=1 type=TRANSFER amount=367,768.40 from=C288306765 to=C1359044626]; [step=1 type=TRANSFER amount=710,544.77 from=C835773569 to=C1359044626]",1,high
C835773569,Zero-Balance Origin Transfer,TRANSFER,"Account C835773569 initiated a TRANSFER of 710,544.77 with a starting balance of 0. Destination: C1359044626. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=710,544.77 from=C835773569 to=C1359044626]",2,high
C835773569,Destination Balance Mismatch,TRANSFER,"Destination C1359044626 balance anomaly: expected 1,449,076.27 after receiving 710,544.77 but actual balance is 16,518.36 (difference: 1,432,557.91). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=710,544.77 from=C835773569 to=C1359044626]",1,high
C843299092,Repeated High-Value Transactions to Same Destination,TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER,"5 high-value transactions (>10000) sent to destination C1590550415. Total amount: 4,876,596.40. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C1449772539, C412788346, C1520267010, C1495608502, C843299092. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1, 1, 1","[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]; [step=1 type=TRANSFER amount=761,507.39 from=C412788346 to=C1590550415]; [step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]; [step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]; [step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",5,high
C843299092,Extreme High-Value Transaction,TRANSFER,"Single transaction of 581,294.26 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C843299092 to C1590550415. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",2,high
C843299092,Amount Spike vs Global Average,TRANSFER,"Transaction amount 581,294.26 is 5.0x the global average of 116,449.41 across all transaction types. While within norms for TRANSFER transactions, this amount is anomalous in the broader context.",1,"[step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",1,high
C843299092,Rapid Burst to Same Destination,TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER -> TRANSFER,"5 transactions to destination C1590550415 in a single time step (step 1). Total: 4,876,596.40. Types: TRANSFER, TRANSFER, TRANSFER, TRANSFER, TRANSFER. Senders: C1449772539, C412788346, C1520267010, C1495608502, C843299092. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1, 1, 1","[step=1 type=TRANSFER amount=379,856.23 from=C1449772539 to=C1590550415]; [step=1 type=TRANSFER amount=761,507.39 from=C412788346 to=C1590550415]; [step=1 type=TRANSFER amount=1,429,051.47 from=C1520267010 to=C1590550415]; [step=1 type=TRANSFER amount=1,724,887.05 from=C1495608502 to=C1590550415]; [step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",3,high
C843299092,Zero-Balance Origin Transfer,TRANSFER,"Account C843299092 initiated a TRANSFER of 581,294.26 with a starting balance of 0. Destination: C1590550415. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",2,high
C843299092,Destination Balance Mismatch,TRANSFER,"Destination C1590550415 balance anomaly: expected 5,776,776.41 after receiving 581,294.26 but actual balance is 19,169,204.93 (difference: 13,392,428.52). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=581,294.26 from=C843299092 to=C1590550415]",1,high
C873175411,Repeated High-Value Transactions to Same Destination,CASH_OUT -> TRANSFER -> TRANSFER,"3 high-value transactions (>10000) sent to destination C766572210. Total amount: 915,506.55. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C1533123860, C873175411, C1603696865. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",3,high
C873175411,Extreme High-Value Transaction,TRANSFER,"Single transaction of 224,606.64 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C873175411 to C766572210. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]",2,high
C873175411,Transfer Followed by Cash-Out (Same Destination),CASH_OUT -> TRANSFER -> TRANSFER,"Destination account C766572210 received 2 TRANSFER(s) totaling 778,633.63 and 1 CASH_OUT(s) totaling 136,872.92. Sequence: CASH_OUT -> TRANSFER -> TRANSFER. This pattern suggests funds are being moved through an intermediary account and then cashed out.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",3,high
C873175411,Rapid Burst to Same Destination,CASH_OUT -> TRANSFER -> TRANSFER,"3 transactions to destination C766572210 in a single time step (step 1). Total: 915,506.55. Types: CASH_OUT, TRANSFER, TRANSFER. Senders: C1533123860, C873175411, C1603696865. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",1,high
C873175411,Zero-Balance Origin Transfer,TRANSFER,"Account C873175411 initiated a TRANSFER of 224,606.64 with a starting balance of 0. Destination: C766572210. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]",2,high
C905080434,Extreme High-Value Transaction,CASH_OUT,"Single transaction of 229,133.94 exceeds 5x the high-value threshold (50,000). Type: CASH_OUT. From C905080434 to C476402209. Extremely large transactions warrant immediate review.",1,"[step=1 type=CASH_OUT amount=229,133.94 from=C905080434 to=C476402209]",2,high
C905080434,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 4,098.78 -> 229,133.94. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=4,098.78 from=C1026483832 to=M1635378213]; [step=1 type=CASH_OUT amount=229,133.94 from=C905080434 to=C476402209]",2,high
C905080434,High-Value Account Drain,CASH_OUT,"Account C905080434 was fully drained via CASH_OUT of 229,133.94. Previous balance: 15,325.00, new balance: 0. Complete account drainage through a high-value transaction is a strong fraud indicator.",1,"[step=1 type=CASH_OUT amount=229,133.94 from=C905080434 to=C476402209]",3,high
C905080434,Destination Balance Mismatch,CASH_OUT,"Destination C476402209 balance anomaly: expected 234,216.94 after receiving 229,133.94 but actual balance is 51,513.44 (difference: 182,703.50). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=CASH_OUT amount=229,133.94 from=C905080434 to=C476402209]",1,high
C908084672,Repeated High-Value Transactions to Same Destination,TRANSFER -> TRANSFER,"2 high-value transactions (>10000) sent to destination C392292416. Total amount: 484,704.45. Pattern: HIGH_VALUE -> HIGH_VALUE. Senders: C1443967876, C908084672. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1","[step=1 type=TRANSFER amount=125,872.53 from=C1443967876 to=C392292416]; [step=1 type=TRANSFER amount=358,831.92 from=C908084672 to=C392292416]",2,high
C908084672,Extreme High-Value Transaction,TRANSFER,"Single transaction of 358,831.92 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C908084672 to C392292416. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=358,831.92 from=C908084672 to=C392292416]",2,high
C908084672,Amount Spike vs Global Average,TRANSFER,"Transaction amount 358,831.92 is 3.1x the global average of 116,449.41 across all transaction types. While within norms for TRANSFER transactions, this amount is anomalous in the broader context.",1,"[step=1 type=TRANSFER amount=358,831.92 from=C908084672 to=C392292416]",1,high
C908084672,Zero-Balance Origin Transfer,TRANSFER,"Account C908084672 initiated a TRANSFER of 358,831.92 with a starting balance of 0. Destination: C392292416. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=358,831.92 from=C908084672 to=C392292416]",2,high
C908084672,Destination Balance Mismatch,TRANSFER,"Destination C392292416 balance anomaly: expected 833,216.45 after receiving 358,831.92 but actual balance is 3,420,103.09 (difference: 2,586,886.64). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=358,831.92 from=C908084672 to=C392292416]",1,high
C926859124,Extreme High-Value Transaction,TRANSFER,"Single transaction of 1,505,626.01 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C926859124 to C665576141. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=1,505,626.01 from=C926859124 to=C665576141]",2,high
C926859124,Sudden Amount Spike,TRANSFER,"Transaction amount 1,505,626.01 is 3.4x the average TRANSFER amount of 436,809.52. Pattern: NORMAL -> NORMAL -> SPIKE (relative to population). This indicates a transaction significantly exceeding typical values for this type.",1,"[step=1 type=TRANSFER amount=1,505,626.01 from=C926859124 to=C665576141]",1,high
C926859124,Zero-Balance Origin Transfer,TRANSFER,"Account C926859124 initiated a TRANSFER of 1,505,626.01 with a starting balance of 0. Destination: C665576141. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=1,505,626.01 from=C926859124 to=C665576141]",2,high
C926859124,Destination Balance Mismatch,TRANSFER,"Destination C665576141 balance anomaly: expected 1,534,657.01 after receiving 1,505,626.01 but actual balance is 5,515,763.34 (difference: 3,981,106.33). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=1,505,626.01 from=C926859124 to=C665576141]",1,high
C1305486145,Sequential Transfer Then Cash-Out,TRANSFER -> CASH_OUT,TRANSFER of 181.00 by C1305486145 immediately followed by CASH_OUT of 181.00 by C840083671 within 0 time step(s). Rapid TRANSFER -> CASH_OUT sequences are a classic indicator of money laundering.,"1, 1",[step=1 type=TRANSFER amount=181.00 from=C1305486145 to=C553264065]; [step=1 type=CASH_OUT amount=181.00 from=C840083671 to=C38997010],2,medium
C1305486145,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 1,864.28 -> 181.00. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=1,864.28 from=C1666544295 to=M2044282225]; [step=1 type=TRANSFER amount=181.00 from=C1305486145 to=C553264065]",2,medium
C512549200,Zero-Balance Origin Transfer,CASH_OUT,"Account C512549200 initiated a CASH_OUT of 5,346.89 with a starting balance of 0. Destination: C248609774. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=CASH_OUT amount=5,346.89 from=C512549200 to=C248609774]",2,medium
C512549200,Destination Balance Mismatch,CASH_OUT,"Destination C248609774 balance anomaly: expected 657,983.89 after receiving 5,346.89 but actual balance is 6,453,430.91 (difference: 5,795,447.02). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=CASH_OUT amount=5,346.89 from=C512549200 to=C248609774]",1,medium
C867288517,Sudden Type Change,TRANSFER -> DEBIT,"Abrupt transaction type change: TRANSFER -> DEBIT in consecutive transactions. Amounts: 62,610.80 -> 5,529.13. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=TRANSFER amount=62,610.80 from=C1976401987 to=C1937962514]; [step=1 type=DEBIT amount=5,529.13 from=C867288517 to=C242131142]",2,medium
C867288517,Sudden Type Change,DEBIT -> CASH_OUT,"Abrupt transaction type change: DEBIT -> CASH_OUT in consecutive transactions. Amounts: 5,529.13 -> 82,940.31. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=DEBIT amount=5,529.13 from=C867288517 to=C242131142]; [step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]",2,medium
C1026483832,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 4,098.78 -> 229,133.94. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=4,098.78 from=C1026483832 to=M1635378213]; [step=1 type=CASH_OUT amount=229,133.94 from=C905080434 to=C476402209]",2,low
C104716441,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 2,252.44 -> 62,610.80. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=2,252.44 from=C104716441 to=M1506951181]; [step=1 type=TRANSFER amount=62,610.80 from=C1976401987 to=C1937962514]",2,low
C1238616099,Sudden Amount Spike,PAYMENT,"Transaction amount 24,213.67 is 4.3x the average PAYMENT amount of 5,621.33. Pattern: NORMAL -> NORMAL -> SPIKE (relative to population). This indicates a transaction significantly exceeding typical values for this type.",1,"[step=1 type=PAYMENT amount=24,213.67 from=C1238616099 to=M70695990]",1,low
C1243171897,Zero-Balance Origin Transfer,TRANSFER,"Account C1243171897 initiated a TRANSFER of 17,231.46 with a starting balance of 0. Destination: C783286238. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=17,231.46 from=C1243171897 to=C783286238]",2,low
C1466917878,Sudden Type Change,DEBIT -> CASH_OUT,"Abrupt transaction type change: DEBIT -> CASH_OUT in consecutive transactions. Amounts: 5,758.59 -> 110,414.71. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=DEBIT amount=5,758.59 from=C1466917878 to=C1297685781]; [step=1 type=CASH_OUT amount=110,414.71 from=C768216420 to=C1509514333]",2,low
C1666544295,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 1,864.28 -> 181.00. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=1,864.28 from=C1666544295 to=M2044282225]; [step=1 type=TRANSFER amount=181.00 from=C1305486145 to=C553264065]",2,low
C2033524545,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 671.64 -> 215,310.30. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=671.64 from=C2033524545 to=M473053293]; [step=1 type=TRANSFER amount=215,310.30 from=C1670993182 to=C1100439041]",2,low
C280615803,Sudden Type Change,CASH_OUT -> DEBIT,"Abrupt transaction type change: CASH_OUT -> DEBIT in consecutive transactions. Amounts: 82,940.31 -> 4,510.22. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]; [step=1 type=DEBIT amount=4,510.22 from=C280615803 to=C1254526270]",2,low
C460570271,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 2,641.47 -> 23,261.30. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=2,641.47 from=C460570271 to=M1653361344]; [step=1 type=CASH_OUT amount=23,261.30 from=C2072313080 to=C2001112025]",2,low
C484199463,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 13,875.98 -> 56,953.90. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=13,875.98 from=C484199463 to=M2008106788]; [step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",2,low
C504336483,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 3,876.41 -> 311,685.89. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=3,876.41 from=C504336483 to=M1404932042]; [step=1 type=TRANSFER amount=311,685.89 from=C1984094095 to=C932583850]",2,low
C527211736,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 7,292.16 -> 47,458.86. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=7,292.16 from=C69673470 to=M1082411691]; [step=1 type=CASH_OUT amount=47,458.86 from=C527211736 to=C2096057945]",2,low
C605982374,Zero-Balance Origin Transfer,TRANSFER,"Account C605982374 initiated a TRANSFER of 11,996.58 with a starting balance of 0. Destination: C1225616405. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=11,996.58 from=C605982374 to=C1225616405]",2,low
C69673470,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 7,292.16 -> 47,458.86. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=7,292.16 from=C69673470 to=M1082411691]; [step=1 type=CASH_OUT amount=47,458.86 from=C527211736 to=C2096057945]",2,low
C807322507,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 12,986.61 -> 42,712.39. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=12,986.61 from=C807322507 to=M396485834]; [step=1 type=TRANSFER amount=42,712.39 from=C283039401 to=C1330106945]",2,low
C840083671,Sequential Transfer Then Cash-Out,TRANSFER -> CASH_OUT,TRANSFER of 181.00 by C1305486145 immediately followed by CASH_OUT of 181.00 by C840083671 within 0 time step(s). Rapid TRANSFER -> CASH_OUT sequences are a classic indicator of money laundering.,"1, 1",[step=1 type=TRANSFER amount=181.00 from=C1305486145 to=C553264065]; [step=1 type=CASH_OUT amount=181.00 from=C840083671 to=C38997010],2,low
